USER_ID,AGE,MERCHANT_ID,Transactions
103,27,219,0.02
103,27,220,0.02
103,27,203,0.02
103,27,221,0.01
103,27,222,0.01
103,27,223,0.01
103,27,224,0.01
103,27,225,0.01
103,27,226,0.01
103,27,227,0.19
103,27,228,0.03
103,27,229,0.38
103,27,230,0.01
103,27,231,0.2
103,27,232,0.01
103,27,233,0.04
103,27,234,0.04
105,27,241,0.1
105,27,203,0.04
105,27,242,0.04
105,27,237,0.02
105,27,225,0.04
105,27,243,0.02
105,27,210,0.31
105,27,244,0.1
105,27,245,0.02
105,27,246,0.02
105,27,229,0.1
105,27,247,0.02
105,27,248,0.12
105,27,249,0.02
105,27,250,0.02
110,29,241,0.03
110,29,219,0.02
110,29,205,0.01
110,29,260,0.01
110,29,222,0.01
110,29,209,0.18
110,29,210,0.03
110,29,211,0.08
110,29,239,0.01
110,29,261,0.01
110,29,227,0.02
110,29,212,0.01
110,29,213,0.05
110,29,240,0.27
110,29,262,0.01
110,29,215,0.02
110,29,229,0.06
110,29,263,0.01
110,29,264,0.03
110,29,265,0.01
110,29,217,0.09
110,29,266,0.01
110,29,267,0.01
115,29,279,0.18
115,29,204,0.08
115,29,236,0.05
115,29,207,0.08
115,29,280,0.05
115,29,281,0.03
115,29,282,0.05
115,29,214,0.03
115,29,240,0.05
115,29,215,0.03
115,29,255,0.1
115,29,283,0.23
115,29,229,0.03
115,29,254,0.03
125,28,219,0.19
125,28,202,0.04
125,28,220,0.04
125,28,203,0.08
125,28,242,0.04
125,28,223,0.04
125,28,224,0.04
125,28,209,0.08
125,28,211,0.04
125,28,239,0.08
125,28,226,0.04
125,28,270,0.04
125,28,257,0.04
125,28,215,0.04
125,28,229,0.08
125,28,264,0.04
125,28,248,0.04
125,28,273,0.04
126,29,220,0.19
126,29,269,0.04
126,29,212,0.04
126,29,213,0.08
126,29,214,0.12
126,29,240,0.31
126,29,283,0.04
126,29,271,0.04
126,29,254,0.15
130,26,212,1
138,28,303,0
138,28,204,0.01
138,28,331,0
138,28,220,0.01
138,28,284,0.01
138,28,332,0.01
138,28,205,0.01
138,28,203,0
138,28,236,0.01
138,28,207,0.1
138,28,333,0
138,28,208,0.01
138,28,269,0.01
138,28,238,0.01
138,28,209,0.01
138,28,210,0.01
138,28,211,0.04
138,28,286,0
138,28,227,0.03
138,28,214,0
138,28,240,0.03
138,28,215,0.35
138,28,255,0.01
138,28,229,0.02
138,28,271,0
138,28,264,0.01
138,28,305,0.01
138,28,306,0
138,28,308,0
138,28,216,0.01
138,28,231,0.01
138,28,309,0
138,28,217,0.1
138,28,267,0.01
138,28,310,0
138,28,273,0.14
138,28,334,0
138,28,313,0.01
142,27,219,0.03
142,27,220,0.02
142,27,203,0.08
142,27,222,0.1
142,27,239,0.03
142,27,277,0.02
142,27,212,0.07
142,27,257,0.03
142,27,215,0.02
142,27,291,0.05
142,27,229,0.02
142,27,327,0.03
142,27,306,0.15
142,27,231,0.02
142,27,328,0.02
142,27,232,0.03
142,27,254,0.02
142,27,312,0.25
142,27,335,0.02
163,30,279,0.52
163,30,347,0.04
163,30,204,0.03
163,30,344,0.02
163,30,236,0
163,30,207,0.19
163,30,314,0
163,30,384,0
163,30,239,0
163,30,286,0
163,30,213,0
163,30,240,0.02
163,30,215,0.01
163,30,304,0
163,30,283,0.01
163,30,229,0.11
163,30,271,0
163,30,307,0.01
163,30,385,0.01
163,30,217,0
163,30,259,0.01
163,30,296,0
163,30,297,0
163,30,313,0
171,26,224,0.5
171,26,210,0.25
171,26,291,0.25
180,26,220,0.04
180,26,209,0.06
180,26,210,0.04
180,26,276,0.12
180,26,288,0.06
180,26,212,0.02
180,26,215,0.12
180,26,229,0.06
180,26,273,0.44
180,26,254,0.04
184,30,395,0.01
184,30,279,0.01
184,30,259,0.98
185,26,219,0.03
185,26,220,0.03
185,26,223,0.03
185,26,209,0.05
185,26,218,0.03
185,26,273,0.77
185,26,254,0.08
187,29,396,0.33
187,29,341,0.33
187,29,228,0.11
187,29,253,0.22
188,28,219,0.5
188,28,254,0.5
194,29,300,0.02
194,29,398,0.02
194,29,242,0.01
194,29,207,0.05
194,29,223,0.01
194,29,208,0.01
194,29,224,0.06
194,29,276,0.02
194,29,239,0.01
194,29,288,0.03
194,29,375,0.02
194,29,340,0.17
194,29,227,0.01
194,29,212,0.05
194,29,228,0.04
194,29,240,0.23
194,29,215,0.04
194,29,229,0.02
194,29,385,0.07
194,29,321,0.01
194,29,217,0.01
194,29,248,0.02
194,29,259,0.04
194,29,254,0.02
194,29,233,0.01
194,29,297,0.01
215,30,397,0.01
215,30,412,0
215,30,279,0.01
215,30,219,0.16
215,30,220,0.01
215,30,205,0.11
215,30,207,0.01
215,30,237,0.01
215,30,222,0.01
215,30,223,0.01
215,30,208,0.01
215,30,269,0
215,30,238,0
215,30,209,0.02
215,30,276,0
215,30,211,0.01
215,30,239,0.07
215,30,288,0.01
215,30,212,0.01
215,30,270,0.01
215,30,213,0.01
215,30,257,0.15
215,30,262,0
215,30,215,0.18
215,30,413,0.01
215,30,382,0
215,30,304,0
215,30,283,0.01
215,30,229,0.02
215,30,271,0.02
215,30,264,0
215,30,247,0.01
215,30,266,0.04
215,30,296,0
215,30,254,0.01
215,30,312,0.04
216,26,241,0.05
216,26,227,0.24
216,26,264,0.05
216,26,216,0.05
216,26,312,0.14
216,26,369,0.48
218,29,338,0.02
218,29,276,0.49
218,29,288,0.38
218,29,253,0.06
218,29,246,0.02
218,29,343,0.01
218,29,249,0.01
218,29,259,0.01
226,27,238,0.09
226,27,210,0.13
226,27,239,0.03
226,27,351,0.06
226,27,240,0.06
226,27,215,0.13
226,27,309,0.03
226,27,218,0.03
226,27,248,0.03
226,27,232,0.03
226,27,259,0.06
226,27,312,0.16
226,27,369,0.16
231,26,212,0.1
231,26,407,0.87
231,26,253,0.03
240,29,220,0.16
240,29,419,0.18
240,29,207,0.02
240,29,271,0.02
240,29,231,0.11
240,29,273,0.44
240,29,254,0.07
241,27,220,0.13
241,27,285,0.13
241,27,242,0.13
241,27,210,0.13
241,27,286,0.13
241,27,229,0.13
241,27,264,0.13
241,27,248,0.13
253,26,205,0.2
253,26,276,0.2
253,26,212,0.2
253,26,229,0.2
253,26,247,0.2
268,30,303,0.01
268,30,279,0.01
268,30,236,0.01
268,30,207,0.06
268,30,210,0.02
268,30,211,0.23
268,30,261,0.01
268,30,212,0.06
268,30,213,0.25
268,30,214,0.02
268,30,240,0.01
268,30,255,0.03
268,30,320,0.01
268,30,229,0.04
268,30,217,0.24
268,30,310,0.01
270,27,337,0.08
270,27,338,0.08
270,27,373,0
270,27,424,0.01
270,27,374,0.07
270,27,219,0
270,27,220,0.01
270,27,425,0
270,27,332,0
270,27,203,0.01
270,27,285,0
270,27,242,0.01
270,27,396,0.02
270,27,426,0
270,27,400,0
270,27,427,0
270,27,301,0.03
270,27,225,0.02
270,27,339,0.01
270,27,428,0.01
270,27,211,0.01
270,27,239,0
270,27,252,0.01
270,27,429,0
270,27,430,0.01
270,27,431,0.01
270,27,341,0.03
270,27,319,0.03
270,27,228,0.04
270,27,240,0.01
270,27,394,0
270,27,342,0.02
270,27,215,0
270,27,432,0
270,27,407,0.02
270,27,253,0.14
270,27,245,0
270,27,246,0.02
270,27,291,0.02
270,27,433,0.02
270,27,434,0.02
270,27,264,0
270,27,231,0.02
270,27,343,0.01
270,27,435,0
270,27,266,0
270,27,387,0
270,27,377,0
270,27,272,0
270,27,322,0.02
270,27,249,0.01
270,27,436,0
270,27,232,0.01
270,27,408,0.01
270,27,302,0
270,27,323,0.04
270,27,250,0.01
270,27,273,0.03
270,27,437,0.02
270,27,312,0
270,27,356,0.01
270,27,438,0.01
270,27,234,0.02
276,29,219,0.07
276,29,205,0.01
276,29,285,0.02
276,29,242,0.01
276,29,222,0.01
276,29,223,0.1
276,29,336,0.01
276,29,212,0.31
276,29,257,0.02
276,29,240,0.07
276,29,215,0.07
276,29,291,0.01
276,29,292,0.01
276,29,229,0.04
276,29,278,0.01
276,29,263,0.03
276,29,264,0.03
276,29,232,0.11
276,29,310,0.02
276,29,254,0.02
286,30,219,0.06
286,30,211,0.16
286,30,239,0.03
286,30,215,0.03
286,30,231,0.06
286,30,232,0.06
286,30,273,0.42
